Fiscal_Year,Service,Fund_Type,Fund,Item_Category,Description,Approved_Amount
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Charges for Services,Tuition-Other Sources,3840600
2017,Montgomery College,TAX SUPPORTED,Current Fund MC,Charges for Services,Other Student Fees: Current Fund,1511963
2017,Montgomery College,TAX SUPPORTED,Current Fund MC,Charges for Services,Tuition and Fees: Current Fund,82558951
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Basic State Aid,325526802
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Federal Revenues,150000
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Foster Care/Miscellaneous,170000
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,GCEI - Geographic Cost of Education Index,35976870
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Students With Disabilities,54890319
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Supplemental Grant,0
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Thornton Legislation,199296312
2017,Montgomery County Public Schools,TAX SUPPORTED,Current Fund MCPS,Intergovernmental,Transportation,40933087
2017,Montgomery College,TAX SUPPORTED,Current Fund MC,Intergovernmental,Fed. State & Priv. Gifts & Grants,325000
2017,Montgomery College,TAX SUPPORTED,Current Fund MC,Intergovernmental,State Aid,36141583
2017,Montgomery College,TAX SUPPORTED,Current Fund MC,Investment Income,Current Fund: Interest,55000
2017,Montgomery College,TAX SUPPORTED,Current Fund MC,Miscellaneous,Current Fund: Other Revenue,1459000
2017,Montgomery College,TAX SUPPORTED,Current Fund MC,Miscellaneous,Current Fund: Performing Arts Center,135000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Admissions Tax,3065887
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,County Income Tax,1487577240
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,E-Cigarette Tax,338300
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Energy Tax,203990141
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Hotel/Motel Tax,20637350
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Property Tax,1271864533
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Real Property Transfer Tax,108430000
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Recordation Tax,57370678
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Taxes,Telephone Tax,50309015
2017,Montgomery County Government,TAX SUPPORTED,County General Fund,Licenses & Permits,Clerk of the Court Business Licenses,0
